row,sentence,y_true,agent1_pred,agent1_step1,agent1_step2,agent2_assessment,agent2_issues,agent2_suggestion,agent3_pred,agent3_rationale,y_pred
0,"Issue Given opposition to the provision in the President's budget to intercept gambling winnings from parents who owe child support, should we: (1) Officially amend the proposal to make it a small scale demonstration, with voluntary participation on the part of gambling establishments, submitting a budget amendment with substitute pay-fors; or (2) Agree to not push the proposal.",0,1,,,,,,,,1
1,Background on the Proposal The responsible fatherhood initiative in the President's budget includes new measures to:     1) collect child support from parents who can afford to pay;,0,0,,,,,,,,0
2,2) ensure that more child support goes directly to families; and,0,0,,,,,,,,0
3,"3) provide funds to help more ""deadbroke"" fathers who owe child support go to work.",0,0,,,,,,,,0
4,"The package of child support collection initiatives includes intercepting gambling winnings from parents who owe support, which will collect about $350 million for families and raise nearly $190 million in federal revenues over five years.",0,0,,,,,,,,0
5,Gaming establishments currently must report to the IRS certain gambling winnings,0,0,,,,,,,,0
6,"under this proposal, they would also check to see if these individuals owe child support, and if so, retain winnings for the gamblers' children",0,0,,,,,,,,0
7,"1 Under current law, tribal and nontribal gambling establishments must complete and send to the IRS form W2G, reporting the name, social security number and amount of winnings for patrons with keno winnings above $1,500, bingo and slot machine winnings above $1,200, and winnings above $600 when the winnings are at least 300 times the amount of the wager.",0,0,,,,,,,,0
8,"2 For all gambling winners exceeding the thresholds listed above, the gambling establishment would transmit the individual's name, social security number and amount of winnings via computer to a secure internet site where it would be matched against information on parents who owe at least $500 in child support.",0,0,,,,,,,,0
9,The match inquiry would report back: 1) there is no match and the individual does not owe past due child support;,0,0,,,,,,,,0
10,"2) the individual owes past due child support which exceeds the amount of the individual's winnings, therefore, the entire amount of winnings should be retained;",0,0,,,,,,,,0
11,"or 3) the individual owes child support but the amount does not exceed the amount of winnings; therefore, only the amount of child support owed should be retained.",0,0,,,,,,,,0
12,Reaction to the Proposal Opposition to.,0,1,,,,,,,,1
13,the child support gambling proposal has come from several sources.,0,1,,,,,,,,1
14,"Trtbal organizations have numerous concerns, including  that the proposal  was  made without consultation, violates their sovereignty by requiring them to enforce federal and state laws, and requires their gambling establishments to dedicate  staff time  and  other resources  to  collecting child support.",0,0,,,,,,,,0
15,"The National Indian Gaming Commission, the federal agency  with  oversight  of tribal gaming, opposes the proposal.",0,0,,,,,,,,0
