<label>|<Sentence Text>|<Always deliberative>|<Non IIA>|<Sentiment>|<Subjectivity>
D0|Issue Given opposition to the provision in the President's budget to intercept gambling winnings from parents who owe child support, should we: (1) Officially amend the proposal to make it a small scale demonstration, with voluntary participation on the part of gambling establishments, submitting a budget amendment with substitute pay-fors; or (2) Agree to not push the proposal.|||-0.997105062|8.73E-05
|||||
D0|Background on the Proposal The responsible fatherhood initiative in the President's budget includes new measures to:     1) collect child support from parents who can afford to pay;|||-0.737516582|0.00488965
D0|2) ensure that more child support goes directly to families; and|||0.975836396|2.77E-05
D0|"3) provide funds to help more ""deadbroke"" fathers who owe child support go to work."|||-0.821525872|3.55E-05
|||||
D0|The package of child support collection initiatives includes intercepting gambling winnings from parents who owe support, which will collect about $350 million for families and raise nearly $190 million in federal revenues over five years.|||0.846706033|0.000364592
D0|Gaming establishments currently must report to the IRS certain gambling winnings|||0.627132833|0.15457264
D0|under this proposal, they would also check to see if these individuals owe child support, and if so, retain winnings for the gamblers' children|||-0.610166311|0.009006866
|||||
D0|1 Under current law, tribal and nontribal gambling establishments must complete and send to the IRS form W2G, reporting the name, social security number and amount of winnings for patrons with keno winnings above $1,500, bingo and slot machine winnings above $1,200, and winnings above $600 when the winnings are at least 300 times the amount of the wager.|||-0.996150017|2.75E-08
|||||
D0|2 For all gambling winners exceeding the thresholds listed above, the gambling establishment would transmit the individual's name, social security number and amount of winnings via computer to a secure internet site where it would be matched against information on parents who owe at least $500 in child support.|||-0.999544442|0.000112247
D0|The match inquiry would report back: 1) there is no match and the individual does not owe past due child support;|||-0.988390446|0.002446801
D0|2) the individual owes past due child support which exceeds the amount of the individual's winnings, therefore, the entire amount of winnings should be retained;|||-0.586143851|0.99991894
D0|or 3) the individual owes child support but the amount does not exceed the amount of winnings; therefore, only the amount of child support owed should be retained.|||-0.890206039|0.9938082
|||||
D0|Reaction to the Proposal Opposition to.|||-0.968850255|0.38787362
D0|the child support gambling proposal has come from several sources.|||-0.98796612|4.51E-05
D0|Trtbal organizations have numerous concerns, including  that the proposal  was  made without consultation, violates their sovereignty by requiring them to enforce federal and state laws, and requires their gambling establishments to dedicate  staff time  and  other resources  to  collecting child support.|||-0.999365628|3.61E-07
D0|The National Indian Gaming Commission, the federal agency  with  oversight  of tribal gaming, opposes the proposal.|||-0.993076563|0.001772731
D0|Democratic members of Congress, in particular Rep. Shelley Berkley (D-NV), have also called for us to abandon the proposal because of the burden it would  impose on the industry.|||-0.998295009|0.27561235
|||||
D0|Child support legislation is likely to move through the Ways and Means Committee this Spring.|||-0.667052269|0.001003443
D0|Human Resources Subcommittee  staff are planning  a hearing in late March  and  a markÂ­ up in April.|||0.915899396|8.88E-06
D0|There is bipartisan consensus on the need to simplify the current child support  distribution rules, to ensure more child support goes directly to families, and the committee will need child support collection proposals to help offset the costs.|||0.908320129|0.29468316
D0|Currently, the committee staff have the gambling proposal, as well our other child support budget proposals, on their proposed list, which is not yet public.|||0.56798172|0.07312273
D0|However, Democratic staff think that because CBO has scored the gambling provision as raising only $36 miilion (compared to our nearly $190 millionscore), that  they will drop the gambling proposal if they receive protests.|||-0.998518884|0.99842465
|||||
D1|Pay-for Options Â· If we submit a budget amendment officially changing our proposal in a way that lowers the savings, OMB believes we should propose substitute pay-fors.|1||-0.996397555|0.99999654
D1|Several child support options are currently being examined;|1||-0.548172057|9.63E-06
D1|early estimates show they likely will raise only about $50 million of the cost.|1||-0.994582117|0.1386604
D1|The remaining costs could be made up by proposing a pay-for that HHS vigorously protested during the development of the budget, which would moderately reduce the amount of performance-based child support funds made available to states at the same time we make other changes that are advantageous to states.|1||-0.997649848|0.9999546
|||||
D1|If they really want to go ahead with this meeting, I would think we should talk about the tribal and nontribal parts of this proposal at the same time, which would lead me to think Leg Affairs should be invited.|1||-0.572647452|0.99127275
D1|Should we suggest?|1||0.649795234|0.40531117
|||||
D0|John will have a deadbeat dads/indian gaming meeting on Thursday, March 9th at 11:00am.|||-0.796117246|0.00024941
D0|The meeting will be in John's office.|||0.946124971|0.010817419
D0|Please call me with any questions/problems.|||-0.878892243|0.6821596
D0|Manifest is:|||0.965249419|0.18149275
|||||
D0|John will have a deadbeat dads/indian gaming meeting on Thursday, March 9th at 11:00am.|||-0.796117246|0.00024941
D0|The meeting will be in John's office.|||0.946124971|0.010817419
D0|Please call me with any questions/problems.|||-0.878892243|0.6821596
D0|Manifest is:|||0.965249419|0.18149275
|||||
D0|Maria -- you asked where we were in setting up an internal meeting to discuss next steps on child support and gaming.|||-0.877445519|0.32336205
|||||
D1|As I have discussed with Lynn, Broderick, and Barbara, we are prepared to scale this proposal back to a demonstration, with voluntary participation on the part of a select number of gaming establishments.|1||0.907537937|0.12325656
D1|Thus, our legislative proposal would be to test this  idea, and we would seek gaming  establishments willing to participate voluntarily.|1||-0.993967056|0.001840246
D1|This should satisfy all concerns. .|1||0.985285461|0.7212639
|||||
D1|Since changing our proposal will result in losing budget revenue, we need substitute pay-fors.|1||-0.99679631|0.99735534
D1|OMB folks have been working diligently on this effort (we've been helping where we can).|1||0.994271636|0.094571
D1|As you know, uncontroversial pay-fors are h_ard to find, but we have several good things inÂ·development.|1||0.999244094|0.99960154
|||||
D1|Once we've crossed this hurdle, we should be ready to go.|1||0.998292387|0.028529527
D1|I think we all agree that we all have an interest in making sure this doesn't get out prematurely, because we a) don't want to get hopes up too early given the complications of the budget pay-for issues and|1||-0.792119861|0.9999796
D1|b) we want to have a coordinated roll-out to make sure all our friends get alerted properly and can take proper credit.|1||0.938709438|0.94894177
D1|Thus, we tried to the extent possible to make our meeting today with the National Indian Gaming Association into a listening session.|1||0.741319954|0.000437779
D1|They raised many good points.|1||0.994474471|0.004516455
|||||
D0|I was planning that we could all meet again once we had vetted budget pay-fors, but I am happy to meet earlier  if others so desire.|||0.640034676|0.99940276
|||||
D0|I believe we should stick to the same plan we worked out before -- we start off by saying we understand there are problems with our original proposal, and we'd like to hear from them about their concerns, and proceed to have mainly a listening session.|||-0.994954526|0.99520147
|||||
D0|Lynn has forwarded to us a copy of NIGA's recent resolution on the subject.|||-0.534078956|0.74847496
D0|Barbara I'll fax you a copy.|||-0.971811652|0.80522984
|||||
D0|Eric -- some additional information from IRS's gambling industry experts.|||-0.527245164|0.019243194
D0|Hope this is helpful.|||0.918327153|0.20055416
D0|Please confirm receipt.|||-0.695715189|0.7562493
D0|Thanks.|||0.986550331|0.5661136
D0|-- Liz '|||0.99619776|0.37138084
|||||
D0|Good moring sorry I missed you  last week as I was on the road, and came home to quite a mess.|||-0.999760687|0.9923964
|||||
D0|In certain circumstances District Directors have authorized the internal control environment.|||0.822496712|0.01217016
D0|"This has been approved because slot machines in denominations of $25 dollars and above ""lock-up"" at every win under the $1200 rule: "|||0.940244675|0.002286166
D0|Under the aggregation permission, the IRS gets one report which reflects the total of all reportable transactions  audit  trails are  in place to ensure compliance.|||0.59289825|0.7382162
D0|This eases taxpayer burden, I would be happy to brief your office as to the details.|||0.95342654|0.9969607
|||||
D0|2:    W-2G's as they apply to Keno, Bingo and slots have been required since the mid?|||-0.905457973|0.37707666
|||||
D0|The dollar thresholds as they apply to these games  were written  at  a time when a $1200 dollar  jackpot was relatively  uncommon|||-0.85096848|0.9980908
D0|Things have changed.|||-0.851952314|0.54250807
D0|As you may recall laat year we began a study on raising the threshold to $500.0 and eliminate 85% of W-2G filings: Taxpayers argued that winners just itemized the losses against the wins and the Treasury was not really getting any revenue.|||-0.99840039|0.9998641
D0|Early results indicated that this would be to costly.|||-0.996409118|0.28180084
D0|We are currently working to find a revenue  neutral number.|||-0.98986125|0.18217911
|||||
D0|Indian gaming offers some.unique challenges due to the sovereignty issue: that being said, Indian casinos have the same requirements as commercial casinos.|||0.859515667|0.62510765
D0|For the most part the Indian casinos are in compliance.|||0.965455055|0.3734031
D0|In rare circumstances where they refuse to permit an audit, we cannot attest to any compliance in any area.|||-0.996564686|0.011517722
D0|"""E/GE will soon be responsible for this issue."|||-0.996397436|0.006790125
D0|To assist them we have develpped an Indian Gaming text and outreach publication.|||0.813044906|0.013803144
|||||
D0|Backup withholding from reportable gaming transactions is, a difficult number as all backup witholding is lumped together.|||-0.988668621|0.9946938
D0|We could attempt to study this issue shhuld you require a better number.|||-0.997923076|0.99350786
D0|That being said, if people stood to lose all their winnings, to child support or just 31% if they refused identification;|||-0.998050094|0.001167729
D0|I think it would be fair to say backup withholding would increase.|||-0.987083912|0.9971348
D0|The children however, would not get the  money the treasury would.|||-0.994064867|0.02607259
|||||
D0|I have some questions that I'm sure you can answer.|||0.812286198|0.9969638
D0|Please give  me a call 202-622-5563|||-0.946275115|0.88486147
|||||
D0|Are there any situations where a casino does not stop operations to secure a W-2G?|||-0.958318114|0.041772768
D0|I.e., do they continue operations if a card holder  exceeds the $1200.00 dollar limit because they have the individuals TIN?|||-0.990903914|0.88115436
D0|How long has the W-2G filing requirement been in place?|||-0.994809866|0.7110071
|||||
D0|Do we have any idea how often a casino has to backup withhold because the winner fails to provide a TIN #?|||-0.997403681|0.9946365
|||||
D0|The student loan offset was enacted in the 2000 appropriations a t.|||0.585864484|0.09964587
|||||
D1|We have another idea about using NDNH for other kinds of Federal debt collection, implemented through Treasury/FMS.|1||0.779126763|0.97567016
