<label>|<Sentence Text>|<Always deliberative>|<Non-IIA>|<Sentiment>|<Subjectivity>
D0|HHS may want to raise the bucket as part of the technicals discussion Ron wants to have|||-0.806974351|0.99918157
D0|Here's the story: for many months, HHS could only see their way clear to a partial fix of the bucket|||-0.999963641|0.99625933
D0|Just as we were about to give up on this, Clay Shaw wrote a letter saying congressional intent was a 100% fix of the bucket|||-0.991145432|0.9983612
D0|This caused HHS to go back to the drawing board (for months)|||-0.999032021|0.002678491
D0|They now see a way to do a 100% fix, but their legal theory conflicts with OMB counsel's theory, and for the moment it's stuck there.|||-0.998408139|0.053961243
|||||
D1|So HHS wants to throw into the technical mix the possibility that Congress could clarify this issue, and they may raise it at our conference call tomorrow|1||-0.872975826|0.94141614
D1|OMB doesnâ€™t disagree|1||-0.99585259|0.9502966
D1|I don't see any downside, other than if we have to use a chit for it|1||0.975648224|0.99780446
D1|But Haskins is on our side here, so it may not use a chit.|1||0.542380273|0.8450785
|||||
D1|This morning I said we'd no longer need the bucket if the budget agreement becomes law|1||-0.940103352|0.9881819
D1|Not exactly so|||-0.996303201|0.78508997
D1|Even with the budget agreement, some legal immigrants -- the elderly non-disabled -- who were in the U.S before the welfare law was enacted will not get Medicaid coverage.|||-0.984418392|0.96071357
D1|States who wish to cover them without vastly expanding their Medicaid programs could do so if the bucket were enacted.|||-0.996322393|0.93377656
|||||
D1|Ken is saying we can't do the bucket by 4/1, because CBO is reestimating the baseline in early/mid April and we donâ€™t want it out before then|1||-0.998618484|0.8829728
D1|We are pressing him on his logic, since the cost of the bucket is already in the budget as a legislative proposal.|1||-0.974612892|0.9937295
|||||
D1|Can we do by April 1?|1||-0.989906728|0.3879128
|||||
D0|"This e-mail 1) notifies you that the Health Division communicated your guidance to HCFA on the three Medicaid â€œwelfare reform"" issues and 2) outlines HCFA's response to your guidance."|||-0.985101819|0.015198045
|||||
D1|1) SSI One-Month Gap -- We communicated to HCFA that the one-month gap policy should be made administratively through an All States Letter to the Medicaid Directors as well|||-0.994848728|0.9997526
D1|HCFA will send over the All States Letter for OMB clearance later this week.|1||-0.992649376|0.55374676
|||||
D1|2) Medically-Needy -- We communicated to HCFA that the medically needy policy should be made administratively through an All States Letter to the Medicaid Directors as opposed to promulgating a regulation|||-0.93266952|0.9998437
