row,sentence,y_true,agent1_pred,agent1_step1,agent1_step2,agent2_assessment,agent2_issues,agent2_suggestion,agent3_pred,agent3_rationale,y_pred
0,I understand from Mike that he prepared a draft proposal for a WH Conference on education and perhaps some other meetings with specific constituencies to include mayors for you to review recently.,1,1,,,,,,,,1
1,When do you suppose it will be ready for circulation for comment by IGA and others?,1,1,,,,,,,,1
2,I am hopeful that we may be in a position to announce at least the mayor segment when the President meets with the USCM winter meeting attendees for breakfast in the WH on January 30.,1,1,,,,,,,,1
3,Thanks.,0,0,,,,,,,,0
4,"Presidential Directive on Coerced Abstinence in the Criminal Justice System January 12, 1998",0,0,,,,,,,,0
5,"Announcement     â€¢ Today, the President directed the Attorney General to take the necessary steps to: (1) require states to determine the level of drug use in their prisons and report annually on their progress;",0,0,,,,,,,,0
6,"(2) grant states the flexibility to use their federal prison funds for drug detection, offender testing and drug treatment;",0,0,,,,,,,,0
7,and (3) work with states to enact stiffer penalties for drug trafficking into and within correctional facilities.,0,0,,,,,,,,0
8,The President also announced that his FY 1999 budget will include nearly $200 million for a series of initiatives to promote coerced abstinence and treatment in the criminal justice system.,0,0,,,,,,,,0
9,"Towards a National Policy of Coerced Abstinence     â€¢ Last week, Columbia University's Center on Addiction and Substance Abuse (CASA) released a study confirming the need for coerced abstinence and treatment in the criminal justice system.",0,0,,,,,,,,0
10,"CASA's study found that 1.4 million offenders -- or 80% of the I. 7 million criminals in prison and jails -- were either high on drugs or alcohol when arrested, stole property to buy drugs, or have a history of drug and alcohol abuse.",0,0,,,,,,,,0
11,Many other studies also confirm that the majority of individuals in the criminal justice system have similar drug histories.,0,0,,,,,,,,0
12,â€¢ Testing to Measure Progress.,0,0,,,,,,,,0
13,"Under current law and federal guidelines, states are required to submit drug testing and intervention plans for their federal prison grant funding.",0,0,,,,,,,,0
14,"The President's directive calls on the Attorney General to amend the guidelines to require states to also include a baseline report of their prison drug  abuse problem, and to report every year thereafter to chart the progress they are making to reduce drug use and availability.",0,0,,,,,,,,0
15,The directive also encourages states to expand their efforts to include other offenders involved in the criminal justice system,0,0,,,,,,,,0
16,â€¢ Helping States Get the Job Done.,0,0,,,,,,,,0
17,"Today's directive asks the Attorney General to draft and transmit to the Congress legislation that will grant states the flexibility to use their federal prison construction and substance abuse treatment funds to provide the full range of drug testing, sanctions and treatment for offenders under criminal justice supervision.",0,0,,,,,,,,0
18,"With this added flexibility, states could tap into the nearly $8 billion in prison funds authorized by the 1994 Crime Law (about $2 billion of which already have been appropriated to date).",0,0,,,,,,,,0
19,â€¢ Keeping Drugs Out of Prisons.,0,0,,,,,,,,0
20,"Finally, the President's directive calls on the Attorney General to work with the states to enhance their penalties for drug trafficking into and within correctional facilities.",0,0,,,,,,,,0
21,The 1994 Omnibus Crime Bill contains tough penalties for similar crimes.,0,0,,,,,,,,0
22,"The President believes we must have ""zero tolerance"" for drug use and trafficking within our nation's prison system.",0,0,,,,,,,,0
23,"A Record of Accomplishment     â€¢ President Clinton has consistently promoted a policy of drug testing, sanctions and treatment for offenders.",0,0,,,,,,,,0
24,"Specifically, he has:",0,0,,,,,,,,0
25,Pushed for Drug Testing and Intervention in the 50 States.,0,0,,,,,,,,0
26,The  President  fought for and signed the legislation  requiring states to drug test prisoners  and  parolees as  a condition  for  receiving prison grants.,0,0,,,,,,,,0
27,States must now submit comprehensive drug testing and intervention plans for prisoners and parolees by March 1998 and implement  them  by September 1998.,0,0,,,,,,,,0
28,Today's actions directly build on this effort,0,0,,,,,,,,0
29,Doubled the Number of Federal Arrestees Tested.,0,0,,,,,,,,0
30,President Clinton directed the Attorney General to create a program to drug test federal criminal defendants.,0,0,,,,,,,,0
31,"Operation Drug TEST (Testing, Effective Sanctions and Treatment) was established and funded a pilot program to immediately test defendants upon their arrest.",0,0,,,,,,,,0
32,"In FY 1997, data from 24 judicial districts indicated that 56% of defendants (9,308) were tested -- a dramatic increase over the 28% (4,929) of defendants tested in the previous year.",0,0,,,,,,,,0
33,There was also a 190% increase in drug treatment for defendants over the same period.,0,0,,,,,,,,0
34,Expanded Testing and  Treatment  in  Federal  Prisons.,0,0,,,,,,,,0
35,"Through  his  budgets and the 1994 Crime Act, the President has promoted coerced abstinence in the federal prison system.",0,0,,,,,,,,0
36,"In 1997 federal prisoners were subjected to nearly 130,000 drug tests.",0,0,,,,,,,,0
37,"Additionally, the number of inmates required to receive treatment increased by 3-fold (from 5,450 in FY 1993 to 17,943 in FY 1997).",0,0,,,,,,,,0
38,Multiplied the Number of Drug Courts.,0,0,,,,,,,,0
39,"As part of the 1994 Crime Act, the President fought to launch a $1 billion initiative to spread Drug Courts across the country.",0,0,,,,,,,,0
40,"Drug Courts use drug testing, sanctions and -- when necessary -Â­ treatment  to cut  crime and addiction.",0,0,,,,,,,,0
41,Drug Courts have increased from a mere handful in 1993 to more than 200 that are operational today.,0,0,,,,,,,,0
