row,sentence,y_true,agent1_pred,agent1_step1,agent1_step2,agent2_assessment,agent2_issues,agent2_suggestion,agent3_pred,agent3_rationale,y_pred
0,That list sounds fine to me.,1,0.0,,,,,,,,0.0
1,"From #2, I would only highlight a & b -- I wouldn't do the others or make much of them.",1,1.0,,,,,,,,1.0
2,"On #3, I would announce both now, I think.",1,1.0,,,,,,,,1.0
3,Rahm wants to leak the school violence report for Monday a.m.,1,0.0,,,,,,,,0.0
4,I don't think we're going to get much pressure for announcements.,1,1.0,,,,,,,,1.0
5,Mike and I discussed a set of possible announcements and challenges that the President could make at Monday's TIMSS event.,1,1.0,,,,,,,,1.0
6,Mike asked me to run them by you.,1,1.0,,,,,,,,1.0
7,"Could you please take a particularly close look at # 2, the challenges?",1,0.0,,,,,,,,0.0
8,The President could:,1,1.0,,,,,,,,1.0
9,"1) Highlight the importance of moving forward on his education agenda, focusing heavily on the voluntary national 8th grade test but also mentioning class size, modern schools/school construction, urban education zones, High Hopes, teacher recruitment and training initiatives, and the $60 million middle school math initiative in the '99 budget.",0,1.0,,,,,,,,1.0
10,2) Issue a set of challenges for the nation to help address the issue.,0,0.0,,,,,,,,0.0
11,calling on:,0,0.0,,,,,,,,0.0
12,"a. states to require new math and science teachers to pass assessments of their knowledge of math or science, and their capacity to teach their subject well, before getting their teaching license.",0,0.0,,,,,,,,0.0
13,(33 states are members of an organization working to develop and put in place assessments like these over the next three years.),0,0.0,,,,,,,,0.0
14,b. states and school districts to insist that their math and science teachers have  either majored or minored in their subject area in college.,0,0.0,,,,,,,,0.0
15,(The average K-8 math teacher only takes 3 undergraduate math courses.,0,0.0,,,,,,,,0.0
16,"28% of math teachers have neither neither a major nor minor in math, 55% of physics teachers have neither a major nor minor in physics, and 18% of science teachers have neither a major nor minor in science.)",0,0.0,,,,,,,,0.0
17,"c. students to work hard and take tough courses in math and science in middle school and high school, and for those with real proficiency in math and science to consider making careers in teaching.",0,0.0,,,,,,,,0.0
18,"(To help students do this, also challenge schools to offer tough math and science classes for all students throughout middle and high school.)",0,1.0,,,,,,,,1.0
19,d. businesses to make clear that students' performance in school counts and look at students transcripts when considering them for jobs.,0,0.0,,,,,,,,0.0
20,"The President could thank the Business Roundtable and National Alliance of Business for their work on this issue, and announce that he would convene a meeting of business leaders at the White House to stimulate action on this nationwide.",1,1.0,,,,,,,,1.0
21,e. universities to strengthen their programs preparing math and science teachers and to encourage more math and science majors to consider careers in teaching.,0,0.0,,,,,,,,0.0
22,f. parents to insist on finding out how their child is doing compared to national standards and compared to their peers around the nation and world.,0,0.0,,,,,,,,0.0
23,"(This leads into national tests, of course.)",0,0.0,,,,,,,,0.0
24,The one other challenge to the states we might want to include is for states to adopt rigorous standards in math and science.,1,0.0,,,,,,,,0.0
25,"3) Announce new on-line help for parents, teachers, and students in math and science:",0,0.0,,,,,,,,0.0
26,a. TIMSS on-line challenge.,0,0.0,,,,,,,,0.0
27,"Parents will be able -- beginning at back-to-school time this fall to download a math and science quiz from the internet, give it to their children, and get a rough sense of what their children need to know in math and science and how they are doing compared to their peers around the world.",0,0.0,,,,,,,,0.0
28,b. New math and science web-site.,0,0.0,,,,,,,,0.0
29,"On Monday, a new website will be available connecting teachers, parents, and students to good materials for curriculum and out-of-school math and science learning, drawing on the scientific resources of NASA, the Department of Energy, the National Science Foundations, and other federal agencies involved in math and science.",0,0.0,,,,,,,,0.0
30,(Thus has been a collaborative effort among more than 40 agencies.,0,0.0,,,,,,,,0.0
31,"It will be ready Monday, but we could also save this for a VP event later this month that could focus more squarely on this website and give more credit to all of the agencies involved.)",1,1.0,,,,,,,,1.0
32,"I. PURPOSE  To bring together leaders from government, business, education, and the scientific community to discuss the recent 12th grade",0,0.0,,,,,,,,0.0
33,"Third International Math and Science Study (TIMSS) results, and to issue a set of challenges to the nation to improve student achievement.",0,0.0,,,,,,,,0.0
34,"You will also announce new on-line math and science help for parents, teachers, and students.",0,0.0,,,,,,,,0.0
35,"BACKGROUND You will be meeting with 25 leaders from government, business, education, and the scientific community to discuss how the nation should respond to recent findings from the Third International Math and Science Study (TIMSS) that while U.S. 4th graders are near the first in the world in science and above average in math, U.S. 12th graders lag below the international average in both subjects.",0,0.0,,,,,,,,0.0
36,"These results demonstrate the importance of implementing your education agenda, including proposals for: national standards and tests in math and reading, smaller classes with well-prepared teachers, modem school buildings, Education Opportunity Zones to end social promotions and fix failing schools, technologically advanced schools, and ""High Hopes"" mentoring to encourage students to take tough classes and prepare for college.",0,0.0,,,,,,,,0.0
37,"In addition to reiterating your legislative proposals, you will issue the following new challenges to boost student achievement in math and science.",0,0.0,,,,,,,,0.0
38,â€¢ Reducing out-of-field teaching.,0,0.0,,,,,,,,0.0
39,You will challenge states and school districts to reduce the percentage of math and science teachers without a major or minor in their subject area.,0,0.0,,,,,,,,0.0
40,The average K-8th grade math teacher takes only three undergraduate math courses.,0,0.0,,,,,,,,0.0
41,"Twenty-eight percent of secondary math teachers lack a major or minor in their subject area, as do 18% of secondary science teachers and 55% of physics teachers.",0,0.0,,,,,,,,0.0
42,â€¢ Rigorous Tests for New Teachers.,0,0.0,,,,,,,,0.0
43,You will challenge states to require all new teachers of math and science to pass challenging tests of math or science knowledge and teaching proficiency.,0,0.0,,,,,,,,0.0
44,"With nearly half of our nation's teaching force to be replaced over the next several years in order to accommodate growing student enrollments and an aging teaching force, raising standards of teaching now can boost the quality of our schools for decades.",0,0.0,,,,,,,,0.0
45,"â€¢ A Call to Action for Schools, Students, and Parents.",0,0.0,,,,,,,,0.0
46,You will challenge schools to offer -- and students to take -- tough math and science courses throughout middle school and high school.,0,0.0,,,,,,,,0.0
47,"Only 25% of U.S. students take algebra before high school, and only 25% of U.S. high school students take physics before graduating.",0,0.0,,,,,,,,0.0
48,You will challenge parents to insist that school districts provide ways of showing how children are doing compared to national standards and international benchmarks.,0,0.0,,,,,,,,0.0
49,"Today, parents have no way of finding out how their children do compared to the international standards in TIMSS.",0,0.0,,,,,,,,0.0
50,"You will also announce the following new on-line resources for parents, students, and teachers:",0,0.0,,,,,,,,0.0
51,"â€¢ ""Federal Resources for Educational Excellence"" (FREE) Web-site.",0,0.0,,,,,,,,0.0
