_ds,row,sentence,word_count,char_count,comma_count,avg_word_len,has_I,has_we_our,modal_verb,opinion_verb,hedge,future_marker,conditional,subordinator,passive_voice,enumeration,pronoun_it_they,nominalization,question,imperative_start,fragment,proper_noun_density
K1,11,"Even with the budget agreement, some legal immigrants -- the elderly non-disabled -- who were in the U.S before the welfare law was enacted will not get Medicaid coverage.",29,171,1,4.655172413793103,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.034482758620689655
K1,16,"This e-mail 1) notifies you that the Health Division communicated your guidance to HCFA on the three Medicaid â€œwelfare reform"" issues and 2) outlines HCFA's response to your guidance.",29,185,0,5.0344827586206895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10344827586206896
K1,94,"As the President said in his State of the Union address, we can be proud that after decades of finger-pointing and failure, we are now replacing welfare checks with paychecks",30,174,2,4.733333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1
K1,95,"Welfare caseloads have fallen another 2.4 million in the first 13 months of the new welfare reform law, a decline of 4.3 million, or 30 percent, since President Clinton took office",31,180,3,4.419354838709677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06451612903225806
K1,97,Welfare to Work Housing Vouchers,5,32,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
K1,99,"Families could use these housing vouchers to move closer to a new job, to reduce a long commute, or to secure more stable housing to eliminate emergencies that keep them from getting to work every day on time",38,208,2,4.447368421052632,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0
K1,100,"These vouchers, awarded to communities on a competitive basis, will give people on welfare a new tool to make the transition to a job and succeed in the work place",30,163,2,4.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
K1,101,Welfare to Work Transportation,4,30,0,6.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5
K1,102,"One of the biggest barriers facing people who move from welfare to work -- in cities and in rural areas -- is finding transportation to get to jobs, training programs, and child care centers",34,190,2,4.4411764705882355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,103,Few welfare recipients own cars,5,31,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,105,"In addition, many entry level jobs require evening or weekend hours that are poorly served by existing transit routes",19,117,1,5.157894736842105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
K1,106,"To help welfare recipients and other low income workers get to where the jobs are, President Clinton has proposed a $100 million a year welfare to work transportation plan as part of his ISTEA reauthorization bill",36,213,1,4.805555555555555,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.05555555555555555
K1,108,Tax Credits for Employers,4,25,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
K1,110,"The Welfare to Work Tax Credit, enacted in the 1997 Balanced Budget Act, provides a credit equal to 35 percent of the first $10,000 in wages in the first year of employment, and 50 percent of the first $10,000 in wages in the second year, to encourage the hiring and retention of long term welfare recipients",56,308,6,4.053571428571429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08928571428571429
K1,111,"The budget also extends the Work Opportunity Tax Credit, which provides a credit of up to $2,400 for the first year of wages for eight groups of job seekers.",29,157,2,4.172413793103448,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.10344827586206896
K1,116,"refugees and asylees, whose eligibility would be extended from 5 to 7 years; Hmong immigrants who came to the U.S after the Vietnam war; and certain Native Americans living along the Canadian and Mexican borders.",35,212,1,4.885714285714286,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.17142857142857143
K1,120,"Ways and Means: Restores benefits for current beneficiaries, including the elderly, but not for new applicants (those who were in the country prior to 8/22/96 and became disabled after that date)",31,195,2,4.935483870967742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03225806451612903
K1,123,"Education and Workforce: invests $3 billion split 95/5 between formula and competitive grants, with somewhat smaller share to cities; funds flow through JTPA system",24,164,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,128,Student loans,2,13,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,132,Ways and Means\Education and Workforce: Denies minimum wage by allowing States to either reduce hours of work requirements or by counting Medicaid/child care/housing/etc as income for calculating minimum wage,29,208,0,6.0344827586206895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06896551724137931
K1,133,"Education and Workforce: Establishes separate entitlement to pay the administrative costs of guaranty agencies; currently, annual funding is determined by the Sec'y of Education",24,177,1,6.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.08333333333333333
K1,134,Commerce: Allows all States to privatize Medicaid eligibility determinations,9,76,0,7.444444444444445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333
K1,135,Agriculture: Allows all States to privatize Food Stamps eligibility determinations,10,82,0,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4
K1,142,"As you may know, a Sense of Congress on Family Violence Option Clarifying Amendment is included in the House Budget Resolution working its way through Congress",26,159,1,5.115384615384615,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.4230769230769231
K1,143,This amendment delineates the intent of Congress when passing the Family Violence Option as part of last yearâ€™s welfare bill,20,126,0,5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2
K1,145,"In addition to the language in the Budget Resolution, Senators Wellstone (D-MN) and Murray (D-WA) have introduced 8 671, and Representative Roybal-Allard (D-CA) stands poised to introduce similar legislation in the House",32,220,2,5.40625,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.1875
K1,148,"Currently, many states are hesitant to elect the FVO for fear of economic sanctions",14,83,1,4.928571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,154,"new research done by the Taylor Institute and the University of Michigan A new, in-depth study, Trapped by Poverty, Trapped by Abuse: New Evidence Documenting the Relationship Between Domestic Violence and Welfare, conducted by the Taylor Institute and the University of Michigan which demonstrates the definitive correlation between domestic violence and welfare has recently been released.",56,391,4,5.875,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.30357142857142855
K1,155,a Washington Post article about the ongoing Better Homes Fund study in Massachusetts,13,84,0,5.538461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46153846153846156
K1,158,"An article on FVO interpretation and implementation by Martha Davis, NOW LDEF and Wendy Pollack, Poverty Law Project in the Clearinghouse Review: Journal of Poverty Law.",26,169,2,5.384615384615385,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.3076923076923077
K1,161,Peter D Hart Research Associates has just completed a national voter survey that includes two questions measuring support for extending minimum wage and other workplace legal protections to welfare recipients in workfare programs,33,229,0,5.96969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091
