<label>|<Sentence Text>|<Always deliberative>|<Non IIA>|<Sentiment>|<Subjectivity>
D1|I understand from Mike that he prepared a draft proposal for a WH Conference on education and perhaps some other meetings with specific constituencies to include mayors for you to review recently.|1||0.961634934|0.7882123
D1|When do you suppose it will be ready for circulation for comment by IGA and others?|1||-0.896440208|0.4025156
D1|I am hopeful that we may be in a position to announce at least the mayor segment when the President meets with the USCM winter meeting attendees for breakfast in the WH on January 30.|1||0.541617215|0.9209585
D1|Thanks.|||0.986550331|0.5661136
|||||
D0|Presidential Directive on Coerced Abstinence in the Criminal Justice System January 12, 1998|||-0.844234288|0.006075308
|||||
D0|Announcement     â€¢ Today, the President directed the Attorney General to take the necessary steps to: (1) require states to determine the level of drug use in their prisons and report annually on their progress;|||0.835906386|2.71E-05
D0|(2) grant states the flexibility to use their federal prison funds for drug detection, offender testing and drug treatment;|||0.994645596|4.96E-06
D0|and (3) work with states to enact stiffer penalties for drug trafficking into and within correctional facilities.|||0.988277376|2.43E-08
D0|The President also announced that his FY 1999 budget will include nearly $200 million for a series of initiatives to promote coerced abstinence and treatment in the criminal justice system.|||0.560829759|0.003110272
|||||
D0|Towards a National Policy of Coerced Abstinence     â€¢ Last week, Columbia University's Center on Addiction and Substance Abuse (CASA) released a study confirming the need for coerced abstinence and treatment in the criminal justice system.|||-0.948589861|8.45E-07
D0|CASA's study found that 1.4 million offenders -- or 80% of the I. 7 million criminals in prison and jails -- were either high on drugs or alcohol when arrested, stole property to buy drugs, or have a history of drug and alcohol abuse.|||-0.926639378|1.17E-05
D0|Many other studies also confirm that the majority of individuals in the criminal justice system have similar drug histories.|||-0.950488985|0.003830893
|||||
D0|â€¢ Testing to Measure Progress.|||0.997333765|0.8501716
D0|Under current law and federal guidelines, states are required to submit drug testing and intervention plans for their federal prison grant funding.|||-0.729516029|7.42E-06
D0|The President's directive calls on the Attorney General to amend the guidelines to require states to also include a baseline report of their prison drug  abuse problem, and to report every year thereafter to chart the progress they are making to reduce drug use and availability.|||-0.657766998|0.007377874
D0|The directive also encourages states to expand their efforts to include other offenders involved in the criminal justice system|||0.974787712|0.00015109
|||||
D0|â€¢ Helping States Get the Job Done.|||0.996942103|0.20441304
D0|Today's directive asks the Attorney General to draft and transmit to the Congress legislation that will grant states the flexibility to use their federal prison construction and substance abuse treatment funds to provide the full range of drug testing, sanctions and treatment for offenders under criminal justice supervision.|||0.905095518|0.000970414
D0|With this added flexibility, states could tap into the nearly $8 billion in prison funds authorized by the 1994 Crime Law (about $2 billion of which already have been appropriated to date).|||0.864289761|0.12015122
|||||
D0|â€¢ Keeping Drugs Out of Prisons.|||0.993311286|0.010052995
D0|Finally, the President's directive calls on the Attorney General to work with the states to enhance their penalties for drug trafficking into and within correctional facilities.|||0.655835092|2.57E-07
D0|The 1994 Omnibus Crime Bill contains tough penalties for similar crimes.|||-0.874384165|0.8287913
D0|"The President believes we must have ""zero tolerance"" for drug use and trafficking within our nation's prison system."|||-0.979367435|0.015582879
|||||
D0|A Record of Accomplishment     â€¢ President Clinton has consistently promoted a policy of drug testing, sanctions and treatment for offenders.|||0.997359335|0.98059046
D0|Specifically, he has:|||0.996423185|0.004269994
|||||
D0|Pushed for Drug Testing and Intervention in the 50 States.|||-0.800743699|0.000282459
D0|The  President  fought for and signed the legislation  requiring states to drug test prisoners  and  parolees as  a condition  for  receiving prison grants.|||0.71228081|5.13E-06
D0|States must now submit comprehensive drug testing and intervention plans for prisoners and parolees by March 1998 and implement  them  by September 1998.|||0.901316047|2.59E-05
D0|Today's actions directly build on this effort|||0.995112479|0.991767
|||||
D0|Doubled the Number of Federal Arrestees Tested.|||0.811462402|0.7353794
D0|President Clinton directed the Attorney General to create a program to drug test federal criminal defendants.|||-0.994814456|0.095889695
D0|Operation Drug TEST (Testing, Effective Sanctions and Treatment) was established and funded a pilot program to immediately test defendants upon their arrest.|||0.948756099|1.64E-07
D0|In FY 1997, data from 24 judicial districts indicated that 56% of defendants (9,308) were tested -- a dramatic increase over the 28% (4,929) of defendants tested in the previous year.|||0.839199185|0.35515004
D0|There was also a 190% increase in drug treatment for defendants over the same period.|||-0.825257003|0.07021411
|||||
D0|Expanded Testing and  Treatment  in  Federal  Prisons.|||0.996590853|0.000461626
D0|Through  his  budgets and the 1994 Crime Act, the President has promoted coerced abstinence in the federal prison system.|||0.874784589|1.25E-05
D0|In 1997 federal prisoners were subjected to nearly 130,000 drug tests.|||-0.998634517|0.010311896
D0|Additionally, the number of inmates required to receive treatment increased by 3-fold (from 5,450 in FY 1993 to 17,943 in FY 1997).|||-0.867295682|0.14616758
|||||
D0|Multiplied the Number of Drug Courts.|||0.822299361|0.22418284
D0|As part of the 1994 Crime Act, the President fought to launch a $1 billion initiative to spread Drug Courts across the country.|||-0.937780499|1.19E-05
D0|Drug Courts use drug testing, sanctions and -- when necessary -Â­ treatment  to cut  crime and addiction.|||0.595915437|0.07395661
D0|Drug Courts have increased from a mere handful in 1993 to more than 200 that are operational today.|||0.996729732|0.691923
|||||
D0|Increased  Resources in  FY 1999 Budget.|||0.995151639|0.27036965
D0|The President's FY 1999 Budget will continue the Administration's policy of drug testing, sanctions and treatment.|||-0.894843936|0.9016147
D0|In particular, the budget includes $192 million for the following programs: -- $85 million for a new Drug Testing Initiative -- $30 million to add more Drug Courts -- $4.7 million for Operation Drug Test -- $5 million for demonstration to combat teenage drug use -- $72 million for treatment in state prisons|||0.914925933|0.014883486
|||||
D0|"''Zero Tolerance""lnitiative for Drugs in Prison Questions and Answers January 12, 1998"|||-0.560080588|0.027406067
|||||
D0|Q. What is the President announcing today?|||-0.971235335|0.61058795
|||||
D0|A. Today, the President signed a directive to the Attorney General calling on her to take the necessary steps to:|||0.505076528|0.027817382
|||||
D0|(1) Require states to determine the level of drug use in their prisons and report annually on their progress.|||0.719367564|7.27E-07
D0|Under current law and federal guidelines, states are required to submit drug testing and intervention plans for their federal prison grant funding.|||-0.729516029|7.42E-06
D0|The President's directive calls on the Attorney General to amend the guidelines to require states to also include a baseline report of their prison drug abuse problem, and to report every year thereafter to chart the progress they are making to reduce drug use and availability.|||-0.657766998|0.007377874
|||||
D0|(2) Give states the flexibilitv to use their federal prison funds for drug detection, offender testing, and drug treatment.|||0.794285774|2.15E-06
D0|The Attorney General will draft and transmit to the Congress legislation to give states the flexibility to use their federal prison construction and substance abuse treatment funds for the full range of drug testing, sanctions, and treatment for offenders under criminal justice supervision.|||0.98593545|0.000239353
D0|This will allow states to tap into the nearly $8 billion in prison funds authorized by the 1994 Crime Law (about $2 billion of which already have been appropriated to date).|||0.894640386|0.003540481
|||||
D0|(3) Work with states to enact stiffer penalties for drug trafficking into and within correctional facilities.|||0.98595804|7.09E-07
D0|Finally, the President's directive calls on  the  Attorney General to consult with the states to enhance their penalties for drug trafficking into and within correctional facilities.|||0.56950587|9.49E-08
D0|The 1994 Omnibus Crime Bill contains tough penalties for similar crimes.|||-0.874384165|0.8287913
D0|"The President believes we must have ''zero tolerance"" for drug use and trafficking within our nation's prison system."|||-0.965072155|0.026490116
|||||
D0|The President also announced that his FY 99 budget will include $ 97 million for a series of initiatives to promote coerced abstinence and treatment in the criminal justice system-Â­ including $85 million for a new drug testing and sanctions program for states and localities.|||-0.63252306|0.000364197
|||||
D0|Q.  How bad is the problem?|||-0.99649471|0.73835856
D0|Is this directive really needed?|||0.970852256|0.5177012
|||||
D0|A.      While crime rates continue to drop and overall drug use is down, illegal drugs remain an enormous factor  behind  the level of crime and violence  in America.|||0.995932758|9.43E-05
D0|Drug addicts are involved in approximately 3 to 5 times the  number of criminal  incidents as arrestees  who do not use drugs.|||0.717880368|8.13E-05
D0|Last week, Columbia University's Center on Addiction and Substance Abuse (CASA) released a study confirming the need for coerced abstinence and treatment in the criminal justice system.|||-0.952388108|1.14E-06
D0|CASA's study found that 1.4 million offenders -- or 80% of the 1.7 million criminals in prison and jails -- were either high on drugs or alcohol when arrested, stole property to buy drugs, or have a history of drug and alcohol abuse.|||-0.911971927|2.27E-06
|||||
D0|Drug test results and anecdotal information reveal that even while incarcerated, offenders can gain access to drugs.|||0.92513603|0.003351608
D0|In drug tests conducted last year, approximately 2 percent of offenders in federal prison and roughly 9 percent of inmates in state facilities tested positive for drugs.|||-0.995313525|4.62E-08
|||||
D0|President Clinton believes that our criminal justice system should reduce drug demand -Â­ not prolong, enhance, or tolerate it.|||-0.959719062|0.84112847
D0|We know that drug testing and treatment can help to break the cycle of drugs and crime.|||0.994854927|0.000542892
D0|Convicted offenders who undergo drug testing and treatment while in prisons and after release are approximately twice as likely to stay drug-free and crime-free as those offenders who do not receive drug testing and treatment.|||0.741292059|6.14E-08
D0|Today's directive and the resources proposed in the President's budget will help us get to zero tolerance for drugs in prison and to helps state to cut crime and recidivism linked to drug abuse.|||0.988889575|0.001330772
|||||
D0|Q.  How is this different from previous actions taken by this Administration to address this issue?|||0.770178139|0.91013205
D0|Is this anything new?|||-0.987810493|0.4014596
|||||
D0|A   The President's action today builds on his strong record of accomplishment in this area.|||0.997950017|0.9981693
D0|In 1996, the President launched the first comprehensive effort to  address  the drug problem in our state criminal justice systems.|||0.989358187|7.59E-05
D0|President Clinton fought for and signed legislation to require states-- whose criminal justice systems  house the vast majority of drug dependent offenders-- to drug test prisoners and parolees as a condition of receiving federal prison grants.|||-0.939150393|0.000310417
D0|Under the President's initiative, states must submit comprehensive plans of drug testing and intervention for prisoners and parolees by March 1, 1998 and implement them by September 1, 1998.|||0.966556311|3.06E-06
|||||
D0|Today's directive complements  the President's earlier initiative   by helping us to chart the states' efforts to  reduce drug use and availability in  their prisons.|||0.990806282|0.65227836
D0|The directive also makes more resources available to states to help them get the job done|||0.85432905|0.067992516
|||||
D0|The President has taken numerous other actions to combat the problem of drug abuse by offenders involved in the criminal justice system including: doubling the number of federal arrestees drug tested in 24 judicial districts;|||0.856734157|5.31E-08
D0|fighting to launch a $1 billion initiative to spread Drug Courts across the country;|||-0.812271714|1.53E-07
D0|and expanding drug testing, intervention and treatment in Federal prisons through his budgets and the 1994 Crime Act.|||0.958443046|1.28E-06
|||||
D0|Q.  Is the federal government tracking the problem of drug use in its own prisons?|||-0.991041005|0.017751865
D0|What are you doing about the drug problem in federal prisons?|||-0.986841321|0.3466094
|||||
D0|A       Under the leadership of Attorney General Reno, the federal Bureau of Prisons is carrying out model programs in drug testing, drug treatment, and drug detection.|||0.858890712|0.000121058
|||||
D0|Drug Testing.|||-0.73843354|0.022724906
D0|In 1997, federal inmates were subject to 127,460 drug tests.|||-0.997189224|0.021047808
D0|Two percent of tests were positive, as compared to the 9 percent average for state correctional systems.|||0.967871249|0.002162616
D0|Prisoners testing positive for drugs arc appropriately punished and follow up tests are scheduled regularly to ensure they stay clean.|||0.955140352|0.006963247
D0|Drug testing of correctional officers, and other selected employees is also an established policy in the Federal Bureau of Prisons.|||0.917427242|1.06E-08
|||||
D0|Drug Treatment.|||0.618329883|0.15136597
D0|In compliance  with  the 1994 Crime  Law, drug  treatment  is  provided to 100 percent of  eligible inmates prior to their  release from Bureau custody.|||0.945068359|1.97E-06
D0|In fY 97, nearly 31,000 inmates participated in Bureau treatment  programs.|||-0.614257157|0.15723407
D0|The number of institutions offering residential treatment has grown from 32 to 42 since FY 1994.|||-0.773468971|0.83620644
|||||
D0|Drug Detection.|||0.995146215|0.07161783
D0|Innovative drug detection technology is being piloted at Bureau institutions.|||0.974349797|0.001073288
D0|The Office of National Drug Control Policy is working with the Bureau to provide the states with information on Lhe best ways to keep drugs out of prisons.|||0.947954535|2.37E-07
|||||
D0|Q.  Is this new reporting requirement for states on their prison drug problem tantamount to an unfunded mandate on states?|||-0.640083432|0.22831278
|||||
D0|A.      No.|||-0.999797046|0.57852495
D0|By  law, states  must  develop  and implement  plans  for drug testing  and  intervention as a condition of receiving  federal  prison construction  grants.|||-0.700882733|3.15E-05
D0|Today's action  means  that as part of those plans, states will need to add infornation on their existing prison drug use problem, and update  that  information  annually.|||0.961079001|0.8599805
D0|All 50 state correctional  systems conducted  some form  of drug testing on their  inmates  last year;|||0.613913894|3.56E-06
D0|yet no comprehensive data exists on the prevalence on drug use in state prisons.|||-0.98946476|0.008633629
D0|Anecdotal  reports  have shown that certain systems, such as the District of Columbia's corrections department, have had difficulty  keeping  drugs out of prisons.|||-0.993761837|0.17091174
D0|The baseline information they provide  will  help us to chart states' progress to reduce drug use and availability in their prisons.|||0.998256981|0.00370432
|||||
D0|In order to provide additional resources for states to promote coerced abstinence and zero tolerance for drugs, the directive calls on the Attorney General to develop legislation to allow states to use their federal prison construction and treatment funds to carry out all of these activities.|||-0.753187239|1.21E-05
|||||
