<label>|<Sentence Text>|<Always deliberative>|<Non IIA>|<Sentiment>|<Subjectivity>
D1|That list sounds fine to me.|1||0.977152646|0.99282587
D1|From #2, I would only highlight a & b -- I wouldn't do the others or make much of them.|1||-0.546556652|0.8848735
D1|On #3, I would announce both now, I think.|1||0.993330777|0.61460066
|||||
D1|Rahm wants to leak the school violence report for Monday a.m.|1||-0.999751747|0.000158295
D1|I don't think we're going to get much pressure for announcements.|1||-0.992566109|0.99957603
|||||
D1|Mike and I discussed a set of possible announcements and challenges that the President could make at Monday's TIMSS event.|1||0.917171597|0.58454156
D1|Mike asked me to run them by you.|1||-0.880649209|0.26621473
D1|Could you please take a particularly close look at # 2, the challenges?|1||0.970990241|0.6128779
|||||
D1|The President could:|1||-0.811511576|0.024017971
|||||
D1|1) Highlight the importance of moving forward on his education agenda, focusing heavily on the voluntary national 8th grade test but also mentioning class size, modern schools/school construction, urban education zones, High Hopes, teacher recruitment and training initiatives, and the $60 million middle school math initiative in the '99 budget.|||0.996320128|8.44E-08
|||||
D1|2) Issue a set of challenges for the nation to help address the issue.|||0.989904821|0.000177188
D1|calling on:|||-0.840485275|0.4068691
|||||
D1|a. states to require new math and science teachers to pass assessments of their knowledge of math or science, and their capacity to teach their subject well, before getting their teaching license.|||-0.958660245|0.019149452
D1|(33 states are members of an organization working to develop and put in place assessments like these over the next three years.)|||0.993943274|0.000338772
|||||
D1|b. states and school districts to insist that their math and science teachers have  either majored or minored in their subject area in college.|||-0.991255641|0.000157884
D1|(The average K-8 math teacher only takes 3 undergraduate math courses.|||-0.941590905|0.08351166
D1|28% of math teachers have neither neither a major nor minor in math, 55% of physics teachers have neither a major nor minor in physics, and 18% of science teachers have neither a major nor minor in science.)|||-0.91774261|0.001337847
|||||
D1|c. students to work hard and take tough courses in math and science in middle school and high school, and for those with real proficiency in math and science to consider making careers in teaching.|||0.990740418|4.10E-06
D1|(To help students do this, also challenge schools to offer tough math and science classes for all students throughout middle and high school.)|||0.943926752|9.31E-06
|||||
D1|d. businesses to make clear that students' performance in school counts and look at students transcripts when considering them for jobs.|||0.997845888|0.017250683
D1|The President could thank the Business Roundtable and National Alliance of Business for their work on this issue, and announce that he would convene a meeting of business leaders at the White House to stimulate action on this nationwide.|1||0.906676173|0.001208028
|||||
D1|e. universities to strengthen their programs preparing math and science teachers and to encourage more math and science majors to consider careers in teaching.|||0.991852939|2.94E-05
|||||
D1|f. parents to insist on finding out how their child is doing compared to national standards and compared to their peers around the nation and world.|||-0.850279391|0.000705592
D1|(This leads into national tests, of course.)|||0.94691366|0.000327432
|||||
D1|The one other challenge to the states we might want to include is for states to adopt rigorous standards in math and science.|1||-0.882843256|0.2820374
|||||
D1|3) Announce new on-line help for parents, teachers, and students in math and science:|||0.978717566|4.17E-07
|||||
D1|a. TIMSS on-line challenge.|||0.990551949|0.07865502
D1|Parents will be able -- beginning at back-to-school time this fall to download a math and science quiz from the internet, give it to their children, and get a rough sense of what their children need to know in math and science and how they are doing compared to their peers around the world.|||0.982806563|0.000540305
|||||
D1|b. New math and science web-site.|||0.741086841|0.81401205
D1|On Monday, a new website will be available connecting teachers, parents, and students to good materials for curriculum and out-of-school math and science learning, drawing on the scientific resources of NASA, the Department of Energy, the National Science Foundations, and other federal agencies involved in math and science.|||0.741471827|1.34E-10
D1|(Thus has been a collaborative effort among more than 40 agencies.|||0.997892916|0.32580447
D1|It will be ready Monday, but we could also save this for a VP event later this month that could focus more squarely on this website and give more credit to all of the agencies involved.)|1||-0.93979466|0.37099648
|||||
D0|I. PURPOSE  To bring together leaders from government, business, education, and the scientific community to discuss the recent 12th grade|||0.973499596|0.024815958
D0|Third International Math and Science Study (TIMSS) results, and to issue a set of challenges to the nation to improve student achievement.|||0.978063822|0.009177819
D0|You will also announce new on-line math and science help for parents, teachers, and students.|||0.83261162|0.002103876
|||||
D0|BACKGROUND You will be meeting with 25 leaders from government, business, education, and the scientific community to discuss how the nation should respond to recent findings from the Third International Math and Science Study (TIMSS) that while U.S. 4th graders are near the first in the world in science and above average in math, U.S. 12th graders lag below the international average in both subjects.|||0.830364108|0.18201986
|||||
D0|"These results demonstrate the importance of implementing your education agenda, including proposals for: national standards and tests in math and reading, smaller classes with well-prepared teachers, modem school buildings, Education Opportunity Zones to end social promotions and fix failing schools, technologically advanced schools, and ""High Hopes"" mentoring to encourage students to take tough classes and prepare for college."|||0.995404363|1.65E-06
|||||
D0|In addition to reiterating your legislative proposals, you will issue the following new challenges to boost student achievement in math and science.|||0.653081775|0.8034698
|||||
D0|â€¢ Reducing out-of-field teaching.|||0.987963676|0.74386644
D0|You will challenge states and school districts to reduce the percentage of math and science teachers without a major or minor in their subject area.|||0.88194716|0.04564837
D0|The average K-8th grade math teacher takes only three undergraduate math courses.|||-0.968765259|0.15982378
D0|Twenty-eight percent of secondary math teachers lack a major or minor in their subject area, as do 18% of secondary science teachers and 55% of physics teachers.|||-0.956556261|0.000902588
|||||
D0|â€¢ Rigorous Tests for New Teachers.|||0.997968137|0.6783092
D0|You will challenge states to require all new teachers of math and science to pass challenging tests of math or science knowledge and teaching proficiency.|||0.881026447|0.82743293
D0|With nearly half of our nation's teaching force to be replaced over the next several years in order to accommodate growing student enrollments and an aging teaching force, raising standards of teaching now can boost the quality of our schools for decades.|||0.999240279|0.002071846
|||||
D0|â€¢ A Call to Action for Schools, Students, and Parents.|||0.992730796|0.014259061
D0|You will challenge schools to offer -- and students to take -- tough math and science courses throughout middle school and high school.|||0.608982742|0.3817259
D0|Only 25% of U.S. students take algebra before high school, and only 25% of U.S. high school students take physics before graduating.|||-0.995534062|6.37E-08
D0|You will challenge parents to insist that school districts provide ways of showing how children are doing compared to national standards and international benchmarks.|||0.951584339|0.9419856
D0|Today, parents have no way of finding out how their children do compared to the international standards in TIMSS.|||-0.951353073|0.04377594
|||||
D0|You will also announce the following new on-line resources for parents, students, and teachers:|||0.86549449|0.003735571
|||||
D0|"â€¢ ""Federal Resources for Educational Excellence"" (FREE) Web-site."|||0.928847432|0.021710074
D0|A new website is available today to connect teachers, parents, and students to teaching and learning resources in math, science, and other subject areas from NASA, the Energy Department, the National Science Foundation, and other agencies.|||0.979070783|3.83E-10
|||||
D0|â€¢ The TIMSS On-Line Challenge.|||0.995219171|0.8788581
D0|The U.S. Department of Education will launch this fall a website that puts TIMSS math and science problems on-line.|||0.63650471|0.15880354
D0|This will enable parents to give a quiz to their children, learn what their children should know in math and science, and learn how their children are doing compared to students from other countries.|||0.99184376|1.05E-05
|||||
D0|Summary of the TIMSS Results: TIMSS showed that U.S. 12th graders scored among the lowest of2I nations in general math and science, with the U.S. outperforming only Cyprus and South Africa.|||-0.976718903|0.99932766
D0|Performance of U.S. 12th graders in advanced math and physics courses also lagged behind their peers from other nations.|||-0.923398376|0.033926174
D0|The 12th grade findings completed a multi-year study showing U.S. 4th graders near the first in the world in science and above average in math, with U.S. 8th graders slightly above the international average in science and below the international average in math.|||0.936457574|0.38460127
D0|The 21 nations participating in the 12th grade study were the U.S., Canada, Australia, and many European nations.|||0.831724346|0.000296217
D0|No Asian countries participated in the 12 grade tests.|||-0.997992516|0.022119828
D0|(See attachment of how the U.S. ranks compared to each participating country for all three grades.)|||0.951966822|0.09972247
|||||
D0|While there is not yet an analysis of the 12th grade TIMSS, an analysis was done of the 8th and 4th grade TIMSS.|||-0.779729664|0.13485532
D0|The analysis found that U.S. curriculum was less advanced, and that it covered more subjects superficially rather than a few subjects in depth.|||-0.997460246|0.9984464
D0|The analysis also showed that U.S. teachers often do not get as much training as those in other nations.|||-0.996179104|0.8703616
|||||
D0|Although other tests (including the National Assessment of Educational Progress) show that U.S. student achievement is improving, TIMSS makes clear these improvements are not rapid enough to keep pace with other nations in an increasingly global economy.|||0.818175197|0.9973028
|||||
D0|Springbrook High School is a good school with above-average test scores.|||0.99225837|0.5456917
D0|Although the school has a solid math and science program, it is not particularly stronger than any of the other academic areas taught in the school.|||-0.999271452|0.30564427
D0|Springbrook has a very diverse student body (35% African American, 20% Asian, 16% Hispanic, 28% white), and it enrolls a total of 2,200 students.|||0.996351957|3.25E-05
|||||
D0|Last week Springbrook High School held its first Anti-Violence Week, to honor one Springbrook student and one fonner student who were killed within the last year.|||0.583896995|1.69E-06
D0|Fonner Springbrook student Alfredo Enrique Tello, Jr. was brutally killed at age 19.|||-0.991944969|0.000376527
D0|Samuel Sheinbein (who fled to Israel) and Aaron Needle are charged with the murder.|||-0.868178666|4.53E-07
D0|Two months later a Springbrook student Elmer Flores was killed in a robbery.]|||-0.926795006|6.06E-07
|||||
D0|IV. PRESS PLAN MEETING: Pool Press for Opening Statement.|||0.996086717|0.97207314
D0|Meeting is then Closed Press.|||-0.53283447|1.51E-05
D0|SPEECH: Open press remarks before the student body.|||0.951842308|0.006894109
|||||
D0|V. SEQUENCE OF EVENTS - YOU will be greeted at the school by Principal Mike Durso, Governor Glendening, Superintendent of Schools Nancy Grasmick, and Members of Congress.|||0.995598316|0.009470975
D0|â€¢You will also be greeted by Michael Cohen's son, Ross, who attends Springbrook.|||0.999059856|0.897251
D0|#NAME?|||0.945982635|0.117591545
D0|(All other participants will already be seated.)|||0.978539348|0.010227024
D0|#NAME?|||0.810277224|0.015223138
D0|#NAME?|||0.750495195|0.89773595
D0|Sec. Riley will make remarks and introduce Bill Schmidt, TIMSS Nat'l Coordinator.|||0.862749279|0.98145527
D0|#NAME?|||-0.910843372|0.07335942
D0|- YOU will begin the meeting by calling on Secretary Pena to briefly describe the Energy Department's commitment to Science education.|||0.916543663|0.27931997
D0|#NAME?|||0.987661958|0.12939413
D0|Each participant will give a brief statement on their view of the improvements that can be made in math and science education, and you are free to respond.|||0.621769011|0.62496024
D0|(YOU should begin by calling on the Governors and Mayors present.)|||0.85569638|0.012895866
D0|Â· - IO minutes prior to the close of the meeting Bill Nye will depart to the auditorium, where he will do a brief pre-program for the students.|||-0.849525511|0.7170937
D0|#NAME?|||0.990449727|0.002438009
D0|#NAME?|||-0.991570473|0.5545327
|||||
D0|Speech to the Student Body: - YOU will be announced onto the stage accompanied by the school Principal and Secretary Riley.|||0.986534655|0.056464653
D0|#NAME?|||0.963515878|0.9326235
D0|#NAME?|||0.835400164|0.9789171
D0|#NAME?|||0.798214674|0.45400497
D0|#NAME?|||-0.995497346|0.7970639
|||||
D0|VI. REMARKS Provided by Speechwriting.|||-0.597293317|0.96093863
|||||
D0|DISCUSSION POINTS FOR EDUCATION MEETING|||0.989706993|0.9835752
|||||
D0|(l) Improving performance is critical to U.S. economic growth and individuals personal opportunities|||0.994346321|0.28940684
D0|â€¢ Most of the highest growth areas in our economy are in areas that require strong math and science skills (e.g., information technology, health professions, systems analysts, engineers).|||0.999235392|0.000349737
D0|â€¢ Almost 90% of new jobs require more than a high school level of literacy and math skills.|||0.986429334|0.9933755
D0|â€¢ For students to get on the road to college and high paying jobs, math and science skills are critical.|||0.996004879|0.001256784
D0|Students who take algebra and geometry go to college at much higher rates (83% vs. 36%) than those who don't.|||0.967002213|5.42E-07
|||||
D0|(2) We must have higher standards and expectations in middle and high school mathematics and science.|||0.947927654|0.002131
D0|In grades 4-8, students in other nations are studying algebra, geometry and other topics, while U.S. students continue to be taught primarily arithmetic.|||0.568169057|0.000313153
D0|The content taught in U.S. eighth-grade mathematics classrooms is generally at a seventh grade level compared to the 40 other nations in the TIMSS study.|||0.953093112|0.32655147
D0|A recent international comparison of science and math examinations for collegebound students by the AFT shows that our SAT, ACT, and AP exams are much less rigorous than similar exams from other nations.|||-0.90365845|0.9968893
D0|The standards of state assessments vary widely, and many 8th grade mathematics assessments are less rigorous than the NAEP standards.|||-0.960241497|0.9991774
D0|The voluntary national tests will help address this.|||0.910398364|0.000803078
|||||
D0|(3) Students should take four years of rigorous high school mathematics and science.|||-0.518647254|7.78E-05
D0|â€¢ Only 25% of U.S. high school students take physics and only 10% take calculus.|||-0.998385787|0.07390915
D0|Most students do not take four years of high school mathematics and science.|||0.502475262|0.005875641
D0|Even among college bound students, less than half do so.|||-0.948985219|0.6660753
D0|Businesses can demonstrate the importance of a rigorous course of study by looking at student transcripts when making hiring decisions.|||0.991787136|0.009752051
D0|The U.S. Chamber of Commerce, the National Alliance of Business, and the Business Roundtable are encouraging employers to do this.|||0.969762087|0.04042762
|||||
D0|(4) U.S. curriculum should be more focused, instead of covering more subjects superficially.|||-0.995351195|0.9761286
D0|"â€¢ At 8th grade, U.S. mathematics and science curriculum is less focused than that of other nations --""a mile wide and an inch deep."""|||-0.998286068|0.58771664
D0|The typical U.S. 8th grade mathematics textbook covers 35 topics while the typical Japanese 8th grade textbook covers 7.|||-0.844291449|0.5177927
|||||
D0|(5) Teachers must be prepared to teach challenging math and science.|||0.977620065|0.009485699
D0|The average K-8 teacher of mathematics takes only 3 undergraduate math courses.|||-0.968820393|0.033636913
D0|In high school, in 1993-94, 28% of mathematics teachers, 18% of general science teachers and 55% of physics teachers were teaching out-of-field, meaning that they have neither a major nor a minor in the subject they teach.|||-0.997553289|3.96E-07
D0|â€¢ TIMSS found that in a typical U.S. classroom, students are drilled to learn how to repeat how the teacher solves a problem.|||-0.524200618|0.8359366
D0|In Japan, students are asked to solve problems and then present their methods and solutions to the class in order to increase their own understanding.|||0.997198224|3.27E-06
D0|This is why it is essential that states require new teachers to take rigorous tests of their knowledge and skills, that states and districts reduce the number of out-offield teachers, and that colleges and universities commit to recruiting and preparing more top-notch math and science teachers.|||0.811044395|0.000320879
|||||
D0|(6) Our students do not start behind, they fall behind.|||0.995152235|5.25E-05
D0|â€¢ In comparison with students in other nations U.S. 4th graders students are above average in mathematics and second only to Korea in science.|||0.994064867|0.18874311
D0|"The strong performance of the ""First in the World Challenge"" districts north of Chicago show that with the right effort, our students can be first in the world."|||0.997249186|0.16732624
|||||
D0|(7) U.S. achievement in mathematics and science is improving, but not fast enough.|||-0.982246816|0.62124234
D0|The achievement of U.S. students has improved in the last decade as shown by higher scores on the NAEP, SAT, and ACT.|||0.993843079|0.95754564
D0|â€¢ TIMSS and other international assessments show that other nations are also improving.|||0.997077107|0.9805387
D0|Thus, to improve our relative international standing and remain competitive in the increasingly global economy, we must redouble our efforts.|||0.896147311|0.007483617
|||||
D0|(8) U.S. students are mastering the basics of computation but have troubles with more advanced content and skills|||-0.906222701|0.7491483
D0|Both NAEP and TIMSS show that our students do well in the basics of computation.|||0.999053895|0.5412864
D0|79% of 8th graders can add, subtract, multiply and divide.|||0.917173386|0.95688826
D0|â€¢ Our students have trouble with more advanced content (geometry, measurement, algebra) and with solving multi-step problems.|||-0.99779737|0.31202838
|||||
D0|(9) We must destroy the myth that math and science are only for a few students.|||-0.984761|0.005695504
D0|â€¢ Surveys show that about half of middle and high school students say they will drop math and science as soon as they are able to -- even if they want to go into fields such as engineering or medicine that require math and science knowledge.|||0.543837547|0.11323392
|||||
D0|PARTICIPANTS IN MEETING ON MATH AND SCIENCE EDUCATION Secretary Richard Riley Secretary Federico Pena Governor Parris Glendening, Maryland Governor Cecil Underwood, West Virginia Mayor Richard Daley, Chicago, IL Mayor Richard Riordan, Los Angeles, CA Mayor Lee Clancey, Cedar Rapids, IA William Schmidt, National Coordinator for TIMSS, Professor at Michigan State University Rudy Crew, Chancellor of New York City Schools Diane Ravitch, Former Assistant Secretary of Education in the Bush Administration.|||0.986034989|6.99E-06
D0|Currently, a Senior Fellow at Brookings and Research Professor at New York University.|||0.979494214|4.33E-08
D0|"Bruce Alberts, President of the National Academy of Sciences Neil Lane, President of the National Science Foundation Bill Nye, Host of Weekly Television Show,""Bill Nye The Science Guy"" Alan Wurtzel, Vice Chairman of the Board for Circuit City, and Chair of the National Alliance of Business Task Force on Education Standards Wilmer Cody, Chair of the Chief State School Officers and Commissioner of Education in Kentucky Robert Moses, Director of the Algebra Project, which helps disadvantaged students prepare for rigorous math classes Bob Chase, NEA President Sandy Feldman, AFT President Nancy Grasmick, Superintendent of Schools, Maryland Migues Nevarez, President of University of Texas Pan American Walter Secada, Professor of Math and Science Education at the University of Wisconsin, and Director of the Hispanic Dropout Project Cindy Mayorga, Springbrook High School Student Cyrus Ishikawa, Springbrook High School Math and Physics Teacher Congresman Wynn Senator Sarbanes"|||0.956438243|7.27E-08
|||||
D0|I now have confirmations from Ed Rust, (State Farm CEO), Mayor Daley, Rudy Crew, Diane Ravitch and Bill Schmidt (Mr. TIMSS).|||0.95179075|4.76E-05
D0|I should get confirmation from Feldman and Chase shortly; their staff were working on rearranging their schedules.|||-0.711057723|0.024533834
|||||
D0|I'll provide additional updates on other participants as soon as I have them.|||0.764809132|0.10023525
|||||
D0|are just about there--as soon as I can tell them what time the meeting is, they can complete|||0.99889946|0.35138363
|||||
D1|If it helps, here is a first cut at a meeting list:|1||-0.590618312|0.4971003
|||||
D1|â€¢ Lou Gerstner, IBM â€¢ Ed Rust, State Farm (head of National Alliance of Business, Business Roundtable Education Task Force, and new member of ACHIEVE Board.|||0.998461843|0.001026743
D1|â€¢ Gov. Engler or Gov. Voinavich (the political people here will go nuts over Engler, but he's the best R gov. if we want to use this to move our testing agenda forward.|1||0.997851729|0.999426
D1|â€¢ Gov. Hunt, Gov. Romer or Gov. Carper â€¢ Diane Ravitch â€¢ Mayor Daley or another mayor into education (if Rahm really wants a mayor) â€¢|1||0.991022825|0.000124345
D1|Bill Schmidt (head of TlMSS study) â€¢ Norma Paulus, Oregon state superintendent of education â€¢ Paul Kimmelman or another representative of Chicago-area 1st in world consortium â€¢ 2 outstanding math/science teachers â€¢ Bob Corrigan, President of Cal. State U system, or Richard Atkinson, President of UC system (and former head of NSF in Carter Administration) â€¢|||0.99971503|2.83E-07
D1|Hugh Price â€¢ a few scientists/mathematicians, and a few people who would add greater diversity to the list.|1||0.999047458|0.5934783
D1|â€¢ Bab Chase and Sandy Feldman if we want them|1||0.996718824|0.3573798
|||||
D1|This list is too long--and will take some work to keep to a manageable size and still give us what we need.|1||-0.999475896|0.9995421
|||||
D1|A Wednesday announcement - almost two weeks before the meeting -- is a guarantee that we will spend considerable time between now and then dealing with people who are ticked off that they are not invited, or represented in some way.|1||0.571865976|0.9992531
|||||
D1|One of the possible amendments to the ed-flex bill is an amendment from Lieberman adding a Mccain-Lieberman Troops to Teachers bill.|||-0.953944266|0.5312644
D1|I am reviewing the bilI tonight, but I think it differs from our Troops to teachers plan -- most important in that it limits participation in the program to retiring military.|1||-0.507956505|0.9994856
D1|We have said our proposal would support other mid-career professionals as well.|1||-0.628425062|0.7014453
D1|I'll read the bill and have more information on this tomorrow morning, but I wanted to give you a heads-up on this.|1||-0.918961942|0.9915975
|||||
D0|"FYI--POTUS is in fact consistent on this issue; I checked the statement that Riley put out after the '96 debate (after he said something to the effect of "" ... if people in Milwaukee or Cleveland want to have vouchers, I say 'let 'er rip'""),"|||-0.822729647|0.89280295
|||||
D0|According to this statement that was carefully negotiated with his Secretary of Education, the President: 1. opposes the use of federal funds for vouchers|||-0.576620936|0.10885879
D0|2. believes the use of state or local funds for vouchers are state or local decisions|||-0.78805232|0.001001957
D0|3. as he said about the 1995 Cal. voucher ballot initiative, the President would personally oppose state or local voucher plans if he were a voter in a state or locality.|||-0.570717216|0.004074725
|||||
D1|Attached is a slightly edited answer for the voucher question --clarifying that the President opposes using federal funds for vouchers:|1||-0.681904078|0.98035645
|||||
D1|Q. The Wisconsin Supreme Court ruled today that the private school voucher program in Milwaukee is constitutional.|||0.803973317|0.3983613
