_ds,row,sentence,word_count,char_count,comma_count,avg_word_len,has_I,has_we_our,modal_verb,opinion_verb,hedge,future_marker,conditional,subordinator,passive_voice,enumeration,pronoun_it_they,nominalization,question,imperative_start,fragment,proper_noun_density,sentiment,subjectivity
K1,31,"Latest status: We, especially OMB, are considering whether to do HHS's administrative fix to the bucket",16,103,2,5.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-0.992325425,0.9987233
K1,35,Nancy-Ann's first take is that Raines needs to decide whether HCFA must come up with an offset to the $1.9 billion cost,22,119,0,4.181818181818182,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.045454545454545456,-0.996830642,0.16431075
K1,56,"OMB doesn't think we should announce anything in the next week or two, because CBO is doing some baseline reestimate.",20,117,1,4.75,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.896008968,0.9999385
K1,60,This should NOT be announced or alluded to in our legal immigration briefing tomorrow.,14,86,0,5.142857142857143,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.547672212,0.95487106
K1,61,There will be a staff level discussion within a few days on whether we should have an Administration bill on Superfund,21,118,0,4.666666666666667,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0.09523809523809523,0.933014452,0.019308092
K1,64,This note is to ask your engagement on the process and to quickly summarize the options for strategy and my recommendation.,21,123,0,4.857142857142857,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,,
K1,65,"With regard to the process, I believe that any principal's meeting on this should be jointly convened mol by CEQ and NEC",22,120,1,4.409090909090909,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.996439517,0.9988864
K1,75,"This approach would send three key signals: (1) we are serious about reform,",13,76,1,4.538461538461538,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.999788105,0.92705566
K1,80,This approach would likely provide the most comfort to DOE and DOD because they will see this as a potentially disciplining process for the other Agencies,26,154,0,4.961538461538462,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0.038461538461538464,-0.929436445,0.044357363
K1,82,I recommend that we initially support option A,8,46,0,4.875,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,
K1,83,"In my view, the key supporting reasons are: 1) An Administration process to come up with a bill will be extremely contentious and will distract from our effectiveness on the Hill",31,178,1,4.645161290322581,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0.0967741935483871,-0.998169184,0.56681234
K1,84,2) If we genuinely want a bill we will need to negotiate with the majority and there is no particular advantage to having spent months coming up with our own bill fist,32,167,0,4.1875,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.03125,,
K1,88,"While this adds a measure of chaos, which will likely create some interagency friction, I don't believe it is particularly damaging to the Administration as a whole",27,164,2,5.0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0.037037037037037035,,
K1,89,"2) We need to get key minority Representatives on board first, some of whom definitely do not want a bill to pass",22,113,1,4.045454545454546,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,0.857811391,0.83504736
K1,194,"Nye do the Eli event on the 14th or 15th, perhaps we release a one-year report on the bill at the hite House on the 22nd, as you suggested Bruce",30,144,2,3.533333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,,
K1,197,"Ann suggested that Tuesday would be the best day next week to release the letter from the President to Congress on child support, since it's a down day with no other message currently scheduled",34,193,1,4.647058823529412,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.08823529411764706,0.999218822,0.004057054
